1001,Drink,45,99
1002,Cake,300,100
1003,Chocolate,10,100
1004,milk,30,100
1005,sauces,15,100
1006,biscuits,20,100
1007,pen,10,98
1008,notebook,30,100
1009,spoon,25,100
1010,pots,200,100
1011,oilpack,70,100
1012,maggi,15,94
1013,masala,10,98
1014,waterbotal,18,100
1015,cup,40,100
1016,headphone,200,100
1017,sugar,145,100
1018,jaggery,60,100
1019,soap,24,100
1020,brush,20,100
1021,darymilk,100,100
1022,bread,25,100
1023,moogdal,46,100
1024,matki,47,100
1025,mixdal,96,100
1026,udid,78,100
1027,dal,57,100
1028,kaju,100,100
1029,salt,30,100
1030,teapawder,50,100
